Weapon Class,Weapon,1h R1 1,1h R1 2,1h R1 3,1h R1 4,1h R1 5,1h R1 6,1h R2 1,1h R2 2,1h Charged R2 1,1h Charged R2 2,1h Running R1,1h Running R2,1h Rolling R1,1h Backstep R1,1h Jumping R1,1h Jumping R2,1h Guard Counter,2h R1 1,2h R1 2,2h R1 3,2h R1 4,2h R1 5,2h R1 6,2h R2 1,2h R2 2,2h Charged R2 1,2h Charged R2 2,2h Running R1,2h Running R2,2h Rolling R1,2h Backstep R1,2h Jumping R1,2h Jumping R2,2h Guard Counter,Offhand R1 1,Offhand R1 2,Offhand R1 3,Offhand R1 4,Offhand R1 5,Offhand R1 6,Backstab,Riposte,Shieldpoke,1h Charged R2 1 Feint,1h Charged R2 2 Feint,2h Charged R2 1 Feint,2h Charged R2 2 Feint,Paired L1 1,Paired L1 2,Paired L1 3,Paired L1 4,Paired L1 5,Paired L1 6,Paired Running L1,Paired Rolling L1,Paired Backstep L1,Paired Jumping L1,,Mounted R1 1,Mounted R1 2,Mounted R1 3,Mounted R2,Mounted R2 Charging,Mounted Charged R2,Mounted L1 1,Mounted L1 2,Mounted L1 3,Mounted L2,Mounted L2 Charging,Mounted Charged L2
Dagger,Glintstone Kris,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Reduvia,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Blade of Calling,40.5,40.5,40.5,40.5,40.5,81,40.5 + 40.5,40.5 + 40.5,81 + 162,60.75 + 60.75 + 121.5,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,44.55 + 44.55,44.55 + 44.55,89.1 + 178.2,66.825 + 66.825 + 133.65,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Black Knife,40.5,40.5,40.5,40.5,40.5,81,40.5 + 40.5,40.5 + 40.5,81 + 162,60.75 + 60.75 + 121.5,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,44.55 + 44.55,44.55 + 44.55,89.1 + 178.2,66.825 + 66.825 + 133.65,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straight Sword,Short Sword,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Longsword,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Broadsword,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Weathered Straight Sword,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Lordsworn's Straight Sword,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Noble's Slender Sword,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Cane Sword,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Warhawk's Talon,57.5,57.5,57.5,57.5,115,,57.5 + 57.5,115,115 + 230,115 + 230,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,66.125 + 66.125,132.25,129.375 + 255.875,129.375 + 255.875,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Lazuli Glintstone Sword,57.5,57.5,57.5,57.5,115,,115,115,172.5,172.5,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,201.25,201.25,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Carian Knight's Sword,57.5,57.5,57.5,57.5,115,,115,115,172.5,172.5,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,201.25,201.25,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Crystal Sword,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Rotten Crystal Sword,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Miquellan Knight's Sword,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Ornamental Straight Sword,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,149.5,,115,115,345,345,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25 + 57.5,86.25 + 86.25,345,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Golden Epitaph,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Sword of St. Trina,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Regalia of Eochaid,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Coded Sword,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
Straight Sword,Sword of Night and Flame,57.5,57.5,57.5,57.5,115,,115,115,345,345,57.5,115,57.5,57.5,86.25,230,345,74.75,74.75,74.75,74.75,149.5,,126.5,126.5,379.5,379.5,74.75,126.5,74.75,74.75,112.125,253,379.5,57.5,57.5,57.5,57.5,115,,0,0,,,,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,69 + 69,,,34.5 + 34.5,34.5 + 34.5,34.5 + 34.5,86.25 + 86.25,,57.5,57.5,115,115,28.75,345,57.5,57.5,115,115,28.75,345
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greatsword,Bastard Sword,137.363,137.363,137.363,148.5,,,148.5,148.5,445.5,445.5,137.363,148.5,137.363,137.363,137.363,297,445.5,178.2,178.2,178.2,193.05,,,163.35,163.35,490.05,490.05,178.2,163.35,178.2,178.2,178.2,326.7,490.05,137.363,137.363,137.363,148.5,,,0,0,,,,,,82.418 + 82.418,82.418 + 82.418,89.1 + 89.1,,,,82.418 + 82.418,82.418 + 82.418,82.418 + 82.418,178.2 + 178.2,,137.363,137.363,137.363,148.5,37.125,445.5,137.363,137.363,137.363,148.5,37.125,445.5
Greatsword,Claymore,137.363,137.363,137.363,148.5,,,148.5,148.5,445.5,445.5,137.363,148.5,137.363,137.363,137.363,297,445.5,178.2,178.2,178.2,193.05,,,163.35,163.35,490.05,490.05,178.2,163.35,178.2,178.2,178.2,326.7,490.05,137.363,137.363,137.363,148.5,,,0,0,,,,,,82.418 + 82.418,82.418 + 82.418,89.1 + 89.1,,,,82.418 + 82.418,82.418 + 82.418,82.418 + 82.418,178.2 + 178.2,,137.363,137.363,137.363,148.5,37.125,445.5,137.363,137.363,137.363,148.5,37.125,445.5
Greatsword,Iron Greatsword,137.363,137.363,137.363,148.5,,,148.5,148.5,445.5,445.5,137.363,148.5,137.363,137.363,137.363,297,445.5,178.2,178.2,178.2,193.05,,,163.35,163.35,490.05,490.05,178.2,163.35,178.2,178.2,178.2,326.7,490.05,137.363,137.363,137.363,148.5,,,0,0,,,,,,82.418 + 82.418,82.418 + 82.418,89.1 + 89.1,,,,82.418 + 82.418,82.418 + 82.418,82.418 + 82.418,178.2 + 178.2,,137.363,137.363,137.363,148.5,37.125,445.5,137.363,137.363,137.363,148.5,37.125,445.5
Greatsword,Lordsworn's Greatsword,137.363,137.363,137.363,148.5,,,148.5,148.5,445.5,445.5,137.363,148.5,137.363,137.363,137.363,297,445.5,178.2,178.2,178.2,193.05,,,163.35,163.35,490.05,490.05,178.2,163.35,178.2,178.2,178.2,326.7,490.05,137.363,137.363,137.363,148.5,,,0,0,,,,,,82.418 + 82.418,82.418 + 82.418,89.1 + 89.1,,,,82.418 + 82.418,82.418 + 82.418,82.418 + 82.418,178.2 + 178.2,,137.363,137.363,137.363,148.5,37.125,445.5,137.363,137.363,137.363,148.5,37.125,445.5
Greatsword,Knight's Greatsword,137.363,137.363,137.363,148.5,,,148.5,148.5,445.5,445.5,137.363,148.5,137.363,137.363,137.363,297,445.5,178.2,178.2,178.2,193.05,,,163.35,163.35,490.05,490.05,178.2,163.35,178.2,178.2,178.2,326.7,490.05,137.363,137.363,137.363,148.5,,,0,0,,,,,,82.418 + 82.418,82.418 + 82.418,89.1 + 89.1,,,,82.418 + 82.418,82.418 + 82.418,82.418 + 82.418,178.2 + 178.2,,137.363,137.363,137.363,148.5,37.125,445.5,137.363,137.363,137.363,148.5,37.125,445.5
Greatsword,Banished Knight's Greatsword,137.363,137.363,137.363,148.5,,,148.5,148.5,445.5,445.5,137.363,148.5,137.363,137.363,137.363,297,445.5,178.2,178.2,178.2,193.05,,,163.35,163.35,490.05,490.05,178.2,163.35,178.2,178.2,178.2,326.7,490.05,137.363,137.363,137.363,148.5,,,0,0,,,,,,82.418 + 82.418,82.418 + 82.418,89.1 + 89.1,,,,82.418 + 82.418,82.418 + 82.418,82.418 + 82.418,178.2 + 178.2,,137.363,137.363,137.363,148.5,37.125,445.5,137.363,137.363,137.363,148.5,37.125,445.5
Greatsword,Forked Greatsword,137.363,137.363,137.363,148.5,,,148.5,148.5,445.5,445.5,137.363,148.5,137.363,137.363,137.363,297,445.5,178.2,178.2,178.2,193.05,,,163.35,163.35,490.05,490.05,178.2,163.35,178.2,178.2,178.2,326.7,490.05,137.363,137.363,137.363,148.5,,,0,0,,,,,,82.418 + 82.418,82.418 + 82.418,89.1 + 89.1,,,,82.418 + 82.418,82.418 + 82.418,82.418 + 82.418,178.2 + 178.2,,137.363,137.363,137.363,148.5,37.125,445.5,137.363,137.363,137.363,148.5,37.125,445.5
Greatsword,Flamberge,137.363,137.363,137.363,148.5,,,148.5,148.5,445.5,445.5,137.363,148.5,137.363,137.363,137.363,297,445.5,178.2,178.2,178.2,193.05,,,163.35,163.35,490.05,490.05,178.2,163.35,178.2,178.2,178.2,326.7,490.05,137.363,137.363,137.363,148.5,,,0,0,,,,,,82.418 + 82.418,82.418 + 82.418,89.1 + 89.1,,,,82.418 + 82.418,82.418 + 82.418,82.418 + 82.418,178.2 + 178.2,,137.363,137.363,137.363,148.5,37.125,445.5,137.363,137.363,137.363,148.5,37.125,445.5
